Sr No,Item No,Unit,Pack Size,Description,Brand,Unit Price Per Case,Unit Price Per Packsize Unit,Category,Max Quantity,Market Price,Market Price Unit
239,1086370,cs,6/49 OZ,"PIE APPLE HIGH PIE READY-TO-BAKE 10""",CHFPIER,37.17,,,,,
240,5751151,cs,48/3 OZ,CROISSANT BUTTER CURVED,BKRSIMP,45.24,,,,,
241,9792771,cs,6/43 OZ,"PIE PUMPKIN THAW & SERVE 10""",SYS CLS,32.24,,,,,
242,7220775,cs,213/1.5 OZ,DOUGH COOKIE CHOCOLATE CHIP,DAVIDS,48.47,,,,,
243,7152020,cs,6/2.5 LB,POTATO FRY SWEET WEDGE,MCCAIN,24.93,,,,,
244,2322683,cs,3/4 LB,PASTA TORTELLINI TRICOLOR 5-CHEESE PRECOOKED,JOSEPHS,53.6,,,,,
245,2330504,cs,2/3 LB,RAVIOLI WILD MUSHROOM,JOSEPHS,53.89,,,,,
246,566513,cs,70/1 OZ,COCONUT MACAROON,KINGPAS,8.18,,,,,
247,6920219,cs,1/100 CT,APPETIZER BEEF DELUXE WELLINGTON,SYS IMP,116.3,,,,,
248,758401,cs,24/4 IN,BUN HAMBURGER GLUTEN FREE INDIVIDUALLY WRAPPED,UDISHFD,25.97,,,,,
249,4333050,cs,20/1 LB,APPETIZER YUCCA FRIES PRECOOKED,TIO JRG,32.12,,,,,
250,1259530,cs,12/2.5 LB,PEA GREEN GRADE A PACKAGED,SYS CLS,35.06,,,,,
251,9190513,cs,144/2.25OZ,BISCUIT BUTTERMILK EASY SPLIT,BKRSIMP,32.35,,,,,
252,7242195,cs,2/24 CT,"PIZZA CRUST FLAT BREAD 5"" X 15""",FLATOUT,16.96,,,,,
253,1954043,cs,4/6LB,BANANA PLANTAIN FROZEN SWEET SLICED,BIG BAN,25.3,,,,,
254,3288857,cs,1/120 CT,DONUT MINI CIDER,CDRDONT,24.65,,,,,
255,3288869,cs,1/120 CT,DONUT MINI CHOCOLATE DOUBLE,CDRDONT,24.33,,,,,
256,2204667,cs,4/4 LB,APPETIZER PEPPER JALAPENO CHEDDAR CHEESE,SYS IMP,73.8,,,,,
257,8270631,cs,6/3LB,APPETIZER CHEESE MACARONI WEDGES BATTERED,SYS IMP,75.91,,,,,
258,9534736,cs,6/2.5 LB,"CHEESE STICK MOZZARELLA BATTERED 2.75""",SYS IMP,71.18,,,,,
259,8766297,cs,"2/10""",CHEESECAKE NEW YORK STYLE 12 CUT,MIKES,42.41,,,,,
260,2339042,cs,48/3.5OZ,VEGETARIAN PATTY GARDEN BURGER,MORNSTR,58.72,,,,,
261,1870385,cs,6/2 LB,APPETIZER CORN NUGGET SWEET,SYS IMP,30.31,,,,,
262,2204683,cs,4/4 LB,APPETIZER PEPPER JALAPENO CREAM CHEESE,SYS IMP,72.77,,,,,
263,2957181,cs,1/15 LB,APPETIZER EGGROLL SANTA FE CHICKEN,CASACLS,75.1,,,,,
264,9263252,cs,12/2 LB,"ONION RING BREADED GOURMET WIDE .75""",SYS IMP,65.32,,,,,
265,7220684,cs,213/1.5 OZ,DOUGH COOKIE WHITE CHIP MACADAMIA NUT,DAVIDS,54.53,,,,,
266,2496624,cs,12/12 CNT,"BUN HOT DOG WHITE 6"" HINGED",SYS CLS,29.95,,,,,
267,7560766,cs,140/2.1 OZ,PRETZEL STICK THAW & SERVING,EUROBKE,63.08,,,,,
268,7190382,cs,6/5 LB,"POTATO FRY STRAIGHT .375"" STEALTH SKIN-ON",LAMB,39.32,,,,,
269,1972033,cs,6/36 OZ,"PIE PECAN SOUTHERN 10"" THAW & SERVE",SYS CLS,40.13,,,,,
270,4808863,cs,10/24 CT,ROLL DINNER HAWAIIAN BAKED,KINGHAW,43.8,,,,,
271,7726516,cs,12/2LB,WONTON SKIN FOR SOUP,LUCKY,29.42,,,,,
272,4745139,cs,213/1.5 OZ,DOUGH COOKIE HEATH BAR CRUNCH,HOPE'S,73.71,,,,,
273,85722,cs,24/13.4OZ,BREAD BAGUETTE FRENCH PARBAKED,MAPLEAF,25.07,,,,,
274,2141760,cs,6/4.5 LB,"POTATO FRY SHOESTRING 1/4"" STEALTH",LAMB,36.33,,,,,
275,1857069,cs,8/6 CT,"ROLL HOAGIE BAKED 9""",AMOROSO,20.62,,,,,
276,6680474,cs,4/4LB,CHILI BEEF WITH OUT BEANS,VIENNA,53.02,,,,,
277,8186694,cs,4/10 CT,BUN KAISER EGG SLICED LARGE BAKED,ROTELLA,24.33,,,,,
278,2195982,cs,4/17 CT,"BUN BRIOCHE GOURMET 4.5""",EUROBKE,32.84,,,,,
279,3791209,cs,2/3 LB,PASTA RAVIOLI BUTTERNUT SQUARE PRECOOKED (DEMAND STATUS),JOSEPHS,45.5,,,,,
280,3979531,cs,30/10.5OZ,BREAD BAGUETTE FRENCH PARBAKED,LA BREA,53.14,,,,,
281,223489,cs,6/110 CT,TORTILLA CORN WHITE REAL,TAC MEX,20.31,,,,,
282,5622873,cs,120/2.25OZ,BISCUIT BUTTERMILK GOLDEN BAKED,PILLSBY,32.12,,,,,
283,2001402,cs,50/5 OZ,PRETZEL SOFT KING,BBRLCLS,26.98,,,,,
284,7060833,cs,2/10 IN,CAKE STRAWBERRY SHORTCAKE NO SUGAR,ANNIPIE,70.7,,,,,
285,1925767,cs,6/4 LB,"CHEESE STICK MOZZARELLA BREADED 3.25""",SYS IMP,111.55,,,,,
286,9281908,cs,"24/8""","PIZZA FOUR CHEESE 8""",VILAPRM,50.07,,,,,
287,7029014,cs,1/85 EA,PASTRY MINI CHOCOLATE ASSORTMENT,GNCH316,0,,,,,
288,7029030,cs,1/63 EA,PASTRY MINI FRUIT ASSORTMENT,GNCH316,81.06,,,,,
289,9108911,cs,1/6 LB,RAVIOLI LOBSTER PRECOOKED,JOSEPHS,99.6,,,,,
